symbol,id,name,issueDate,quantityIssued,parValue,issuedPrice,lastTradedPrice,wtdHiPrice,mtdHiPrice,ytdHiPrice,p12HiPrice,allHiPrice,allLowPrice,wtdLowPrice,mtdLowPrice,ytdLowPrice,p12LowPrice,tdyShareVolume,wdyShareVolume,mtdShareVolume,ytdShareVolume,p12ShareVolume,tdyTradeVolume,wtdTradeVolume,mtdTradeVolume,ytdTradeVolume,p12TradeVolume,tdyTurnover,wtdTurnover,mtdTurnover,ytdTurnover,p12Turnover,previousClose,foreignHoldings,foreignPercentage,instrumentsDate,hiTrade,lowTrade,closingPrice,marketCap,marketCapPercentage,change,changePercentage,symbolIndexShareVolume,isin,logo_id,logo_path,beta_securityId,beta_triASIBetaValue,beta_betaValueSPSL,beta_triASIBetaPeriod,beta_quarter
UML.N0000,262,UNITED MOTORS LANKA PLC,05/DEC/1989,100900626.0,1.0,,290.0,299.0,315.0,360.0,360.0,360.0,10.0,285.0,280.0,84.5,77.5,195140,45416,374069,19214841,20953711,271,,,,,55463296.0,13302076.0,110514832.0,3442487810.0,,288.25,,,,295.75,279.5,291.25,29387307322.5,0.3758873,3.0,1.0407632263660018,100900626.0,LK0183N00000,2132.0,upload_logo/697_1601464236.jpeg,697,1.4420996,0.60104036,2025,1.0
VFIN.N0000,1563,VALLIBEL FINANCE PLC,04/MAY/2010,235453400.0,1.0,,99.7,101.25,109.0,128.75,128.75,194.5,21.0,97.0,95.0,50.1,45.5,58860,93438,1017615,69402310,82772678,148,,,,,5856016.0,9324467.0,102799600.0,5943152600.0,,98.0,,,,100.25,98.0,99.7,23474703980.0,0.30026037,1.7,1.7346938775510203,235453400.0,LK0364N00006,2247.0,upload_logo/949_1603173391.jpeg,949,1.1212121,0.64517653,2025,1.0
VONE.N0000,1848,VALLIBEL ONE PLC,08/JUL/2011,1138915644.0,1.0,,96.6,95.9,104.0,111.0,111.0,111.0,10.9,93.0,92.9,54.0,54.0,147789,285665,2166911,164904310,186126307,170,,,,,14195193.0,27193874.0,208608048.0,13556011000.0,,95.4,,,,98.0,95.4,96.6,110019251210.4,1.4072348,1.2,1.2578616352201257,1138915644.0,LK0389N00003,2133.0,upload_logo/1074_1601464262.jpeg,1074,0.6001082,0.5565889,2025,1.0
VPEL.N0000,473,VALLIBEL POWER ERATHNA PLC,16/MAY/2006,747109731.0,1.0,,15.0,14.5,15.3,18.4,18.4,18.4,1.6,14.0,13.9,11.5,10.7,385988,325218,3015512,117618617,129610999,135,,,,,5674677.5,4598742.0,44362284.0,1703162500.0,,14.2,,,,15.3,14.2,15.0,11206645965.0,0.14334202,0.8,5.633802816901408,747109731.0,LK0352N00001,2134.0,upload_logo/454_1601464296.jpeg,454,1.1066017,0.5802333,2025,1.0
VLL.N0000,300,VIDULLANKA PLC,10/JUN/2005,951421699.0,1.0,,22.8,22.9,24.5,31.0,31.0,69.75,3.4,22.5,22.5,12.8,12.4,57490,46163,269796,54283725,56579123,61,,,,,1273200.8,1049166.4,6332263.5,1006093120.0,,22.8,,,,22.9,22.0,22.8,21692414737.2,0.27746344,0.0,0.0,951421699.0,LK0347N00001,2135.0,upload_logo/455_1601464327.jpeg,455,0.66964287,0.21721311,2025,1.0
VLL.X0000,5005,VIDULLANKA PLC,10/JUN/2005,82113575.0,1.0,,17.4,17.9,18.1,23.5,23.5,23.5,3.9,17.1,17.0,9.0,8.9,16337,9561,124035,14240558,15278639,31,,,,,278369.2,165880.3,2204879.2,207241984.0,,17.2,,,,17.4,16.9,17.4,1428776205.0,0.018275198,0.2,1.1627906976744187,,LK0347X00000,2135.0,upload_logo/455_1601464327.jpeg,455,0.66964287,0.21721311,2025,1.0
CITW.N0000,1971,WASKADUWA BEACH RESORT PLC,03/JAN/2012,936683988.0,1.0,,2.0,2.1,2.1,2.4,2.5,17.0,1.2,1.9,1.9,1.8,1.8,1733818,2309433,13635783,668003215,941739484,83,,,,,3468847.8,4620413.5,27552256.0,1403108860.0,,2.0,,,,2.1,2.0,2.0,1873367976.0,0.023961885,0.0,0.0,936683988.0,LK0405N00007,2136.0,upload_logo/1106_1601464353.jpeg,1106,-0.53814936,-0.36995587,2025,1.0
WATA.N0000,148,WATAWALA  PLANTATIONS  PLC,01/DEC/1997,1016543165.0,1.0,,47.9,43.9,47.0,160.0,160.0,330.0,6.4,43.0,42.5,25.0,25.0,424906,325742,2288433,124903423,127149502,324,,,,,19712436.0,14203308.0,102114000.0,5262672900.0,,43.8,,,,48.0,43.9,47.9,48692417603.5,0.6228152,4.1,9.360730593607306,1016543165.0,LK0246N00005,2137.0,upload_logo/728_1601464378.jpeg,728,0.58630955,0.27332914,2025,1.0
WIND.N0000,4887,WINDFORCE PLC,22/APR/2021,1352583889.0,1.0,,45.3,45.4,48.5,56.1,56.1,56.1,13.1,44.0,44.0,22.9,22.5,66382,66037,756754,55848266,59910243,101,,,,,2988164.8,2967581.2,34968204.0,2092160000.0,,45.1,,,,45.4,44.5,45.3,61272050171.7,0.7837188,0.2,0.4434589800443459,1352583889.0,LK0461N00000,2353.0,upload_logo/2173_1621840165.jpeg,2173,0.42207792,0.0398802,2025,1.0
YORK.N0000,180,YORK ARCADE HOLDINGS PLC,01/MAY/1985,750000.0,1.0,,820.5,895.75,895.75,935.0,935.0,935.0,4.5,820.0,800.0,141.0,141.0,4428,482,5883,639806,653080,105,,,,,3620336.0,398500.5,4914903.0,456387904.0,,829.25,,,,850.0,802.0,820.5,615375000.0,0.007871142,-8.75,-1.0551703346397348,750000.0,LK0171N00005,,,641,0.000541125,0.026166456,2025,1.0
